Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A project manager is asked by a senior leader in the organization to immediately start preparing the project plan for a critical project with a very tight timeline. What should the project manager do first?,multiple-choice,Ask the sponsor how the project will be funded.,,Gather initial requirements to create the project charter.,,Meet with all divisions to obtain their buy-in and support.,,Draft the project schedule to determine whether the deadline is feasible,,,,,,2,"The first steps in initiating a project are to understand the goal, the requirements and to create a charter.",
"After a product has been fully delivered to the customer, a project manager wants to determine if the product meets the customers expectations. How can the project manager measure this?",multiple-choice,Through evaluation of the project deliverables and review of customer feedback,,By auditing project success,,Via additional requests for services from the same customer,,By conducting lessons learned sessions with the customer,,,,,,1,"Project closure meetings are used to confirm that the deliverables have been accepted, to validate that the exit criteria have been met, to formalize the completion of the contracts, to evaluate the satisfaction of the stakeholders, to gather lessons learned, to transfer knowledge and information from the project, and to celebrate success.",
"During the planning phase of a project, a project manager is assigned as a replacement when the project schedule and budget have already been determined. The project sponsors tell the project manager that the project goals can be met in this schedule and budget. However, the project manager is concerned there are uncertain events on the project that may derail this plan. What should the project manager do?",multiple-choice,Identify and evaluate any project risks.,,Discuss the potential of unplanned risks with the functional manager.,,Focus on executing the project as planned.,,Request additional funding from the project sponsor for project planning,,,,,,1,The project manager needs to be proactive and to familiarize himself with the identified risks and their mitigation strategies.,
"A project manager is having difficulty in getting the project management plan approved by various stakeholders who are spread across the globe. The project manager thinks it would be quicker to obtain stakeholder buy-in if the project management plan is presented to all the stakeholders at once through a common meeting. However, the stakeholders are in various time zones across the globe and the project manager is unable to setup a common meeting that works for all stakeholders. What else should the project manager do to ensure that the review of the plan is completed on time?",multiple-choice,"Send the plan to each stakeholder individually, asking them to add their comments and return it for updating.",,Arrange individual meetings with only the key stakeholders to walk them through the plan.,,Schedule a meeting with as many key stakeholders as possible and send the plan for review before the meeting with all stakeholders.,,Divide the plan into sections and ask select stakeholders to review particular portions based on their areas of expertise.,,,,,,3,"By sending the project management plan to the attendees in advance, the PM can insure that the meeting is most productive. Those stakeholders who can't attend the meeting due to time zone issues can review the plan on their own and provide comments/ approval.",
A project manager identifies scheduling priority conflicts among local and virtual team members. The project manager schedules a conference call to manage this conflict. What conflict resolution technique did the project manager use?,multiple-choice,Compromise/reconcile,,Force/direct,,Collaborate/problem solve,,Smooth/accommodate,,,,,,3,Collaborate/problem solve. Incorporating multiple viewpoints and insights from differing perspectives; requires a cooperative attitude and open dialogue that typically leads to consensus and commitment. This approach can result in a win-win situation.,
"The project manager has instituted good discipline for meeting cadence. The team meets every week to discuss the status and next steps on the project. The project manager notices that a new team member who recently joined the project is not regularly attending the weekly meetings. Upon questioning, the team member explains that they are busy working on deliverables, which they believe have priority over attending weekly meetings. What should the project manager do?",multiple-choice,Suspend the team member and explain that this behavior is not permitted.,,Meet with the team member again to explain that punctuality is crucial.,,"Ignore the behavior, as this team member is ensuring that work is not affected.",,"Highlight ground rules and influence the team so that these rules are understand, and followed by all.",,,,,,4,It is the project manager's responsibility to make sure that all team members understand and follow the team rules.,
A project manager is working on a global project with resources located in different regions. What should the project manager do to address the correct channels with the right information?,multiple-choice,Develop a communications management plan.,,Create a stakeholder engagement plan.,,Hold frequent video conferences.,,Schedule meetings in different time zones.,,,,,,1,A communications management plan is developed to ensure that the appropriate messages are communicated to stakeholders in various formats and various means as defined by the communication strategy.,
"During the final stages of the execution of a large construction project, the project manager is informed that the project cannot continue due to unforeseen safety issues. The authorities will not allow work on the project until the inspectors finish their investigation in three months. What should the project manager do?",multiple-choice,Refer to the risk management plan for an appropriate response.,,Immediately schedule a meeting with the project sponsor and the authorities to mitigate the work stoppage.,,"Include this information in the project status report, and develop a mitigation plan.",,"Inform the project sponsor, and update the project management plan.",,,,,,1,"The project manager need to refer to the risk management plan to see if this was an identified risk and, if so, to follow the recommended plan. If not, then the risk management process need to be invoked and followed.",
A stakeholder has expressed dissatisfaction on a project because the stakeholder hasn't been kept informed about the regular project status updates. What should the project manager do?,multiple-choice,Check the communications management plan to ensure that the stakeholder is included.,,Send a project status update to all stakeholders.,,Refer to the communications management plan to ensure that all stakeholders are included.,,Ask the stakeholder if they are checking their mail.,,,,,,1,"It is important to insure that all stakeholders are being included in the communication management plan, not just the stakeholder who raised the issue.",
A project was decided to be closed last year by the project sponsor due to lack of budget. After approval of new budget this year a new project was initiated to address multiple gaps that were unaddressed in the previous project. A new project manager assigned. What should the project manager do first?,multiple-choice,Prepare the project management plan.,,Refer to the lessons learned documents.,,Plan to use the same project resources.,,Define the requirements and finalize the scope.,,,,,,2,"Before planning anything new, the project manager should understand what happened on the prior project. This information will be found in that project's lessons learned documents.",
"A project is ready to close, but a vendor claims they have not received payment. The project manager sees that payment was approved, but is unable to find supporting documents from the finance department. The project manager wants to close the project due to a new assignment. What should the project manager do?",multiple-choice,"Delay closure until claim is found, but continue work on the new project.",,"Proceed with the closure, since it is believed payment was approved.",,Ask for support from the financial department and delay the closure to solve the claim.,,Inform the sponsor about the situation and obtain their approval to close the project.,,,,,,3,The finance department is the only one in this scenario that can provide proof if a payment was made. The PM should not close the project until this is confirmed.,
"A project is being planned in a remote area with limited access to vehicles and equipment. The project manager proposes that the company use an outside vendor to deliver all heavy equipment. The project manager will take full responsibility for this activity. However, this strategy will result in a significant expense. What type of risk response is the project manager demonstrating?",multiple-choice,Accept,,Mitigate,,Avoid,,Transfer,,,,,,4,Transfer involves shifting ownership of a threat to a third party to manage the risk and to bear the impact if the threat occurs. Risk transfer often involves payment of a risk premium to the party taking on the threat.,
"Due to time constraints, a project manager omits the review of previous lessons learned. What is a potential impact of this decision?",multiple-choice,The project management office (PMO) may not recognize the project as officially started.,,Management of the project will be more difficult.,,The cost of the project will be greater.,,Project issues could reoccur because of the missed opportunity to identify preventive actions.,,,,,,4,"By not reviewing previous lesson learned, the project manager runs the risk of repeating those same mistakes from other projects.",
"A project manager submits a project review report showing that the project has completed 50 percent of its activities, has a schedule performance index (SPI) of 1, and a cost performance index (CPI) of <1. What should the project manager do next to successfully complete the project?",multiple-choice,Prepare a change request.,,Identify parallel activities to reduce the critical path.,,Develop a bottom-up estimate for the remaining work.,,Continue the project as per the schedule.,,,,,,3,A CPI of < 1 means the project is over budget. The project manager should be proactive in understanding the remaining costs on the project. Bottom-up estimating is a method of estimating a component of work. The cost of individual work packages or activities is estimated to the greatest level of specified detail.,
"A project feasibility study determined what product should be created. Now, a change request has been approved to develop another product that contradicts the original requirements. Data analysis was conducted before the change request was approved. What should the project manager do?",multiple-choice,Request a detailed report of the data analysis,,Implement the change request.,,Reject the change request.,,Request a feasibility study of the new product.,,,,,,2,"Approved change requests can require new or revised cost estimates, activity sequences, schedule dates, resource requirements, and/or analysis of risk response alternatives. These changes can require adjustments to the project management plan and other project documents.",
A stakeholder requests more frequent and detailed updates on the project's status. The stakeholder also expresses interest in helping with the project. What should the project manager do next?,multiple-choice,Send detailed status reports as soon as possible and update the stakeholder register.,,Update the detailed status report for all stakeholders with the same engagement level.,,Include this stakeholder in all detailed project status communications and update the stakeholder's engagement level to supportive,,Meet with the team to review the stakeholder register and reassess the roles and reporting requirements.,,,,,,4,The stakeholder register provides details on the project participants and their interests in the project. Review the register with the team to reassess if the more frequent requests are warranted.,
A project resource completed all assigned project tasks. The resource's manager requests an immediate transfer of the resource to another project. What should the project manager do next?,multiple-choice,Ask the resource to document any lessons learned during the project.,,Evaluate whether the resource could be helpful in another project phase.,,Complete an evaluation of the resource's performance on the project.,,Suggest that the manager transfer a different resource to the other project,,,,,,1,The project manager needs to capture any lessons learned from the resource while the information is fresh and to allow for any learned improvements to be implemented earlier.,
"A project is in its execution phase. Due to a new regulation, the client asks for additional documentation to be delivered within the contract. What should the project manager do?",multiple-choice,Execute change management procedures.,,Review the risk register.,,Update the project management plan.,,Negotiate with the client.,,,,,,1,"Since compliance is mandatory, a change request needs to be submitted.",
"During a project's initiation phase, the project manager conducted a stakeholder analysis and documented all requirements. Still, some stakeholders are dissatisfied with project results because their expectations were unmet. What should the project manager have done to prevent this?",multiple-choice,Asked the project team to refer to the stakeholder engagement plan and respond accordingly,,Met with the sponsor periodically to ensure project alignment,,Captured the stakeholders' varying expectations throughout the project's life cycle,,Added this as a risk in the risk register,,,,,,3,"By understanding and capturing stakeholder expectations, the project manager could have avoided this dissatisfaction.",
"A project manager learns that the customer's resources have not completed the required training. Since customer resource training is a required project deliverable, this poses a risk to the timely completion of the project. What should the project manager do?",multiple-choice,"Update the risk register, and discuss it at the next project status meeting.",,Engage with the project stakeholders to address the risk.,,Assign additional post-implementation support to mitigate the risk.,,Adjust the project schedule to account for the training delay.,,,,,,2,"Since the customer is a key stakeholder, the project manager should engage with them to address this risk.",
A customer continually submits new feature requests for an existing product. A project manager just communicated the completed scope definition for the product's next version release to stakeholders. What should the project manager do next?,multiple-choice,Review the scope management plan and iterate it through the scope definition process.,,Meet with the product manager to ask that the number of new requests be reduced.,,Meet with stakeholders to align expectations.,,Immediately define project boundaries with the sponsor.,,,,,,1,"The scope management plan documents how the project and product scope will be defined, validated, and controlled. The key benefit of this document is that it provides guidance and direction on how scope will be managed throughout the project.",
"During a demo and review meeting, the progress report shows that an agile project is not on track. The project manager is surprised, because all work was purposely selected and sequenced to meet higher-level objectives.

What should the project manager have done to prevent this miscommunication?",multiple-choice,Encouraged the team to self organize and provide buy-in to the project,,Created a contingency reserve,,Trained and mentored the team on using the agile approach,,Engaged the team to record the agile progress reporting system,,,,,,1,"In an agile environment, the team is self-organizing. The project manager should not be selecting and sequencing all work; rather, they should empower the team to self-organize, which leads to better buy-in and prevents miscommunication about progress and tracking.",
A customer rejects a deliverable because it fails to meet the agreed-upon quality specifications. The project team investigates the issue and determines that vendor-provided parts are at fault. The vendor refuses to correct the situation. What should the project manager review?,multiple-choice,Procurement management plan and contract agreements,,Service level agreement (SLA) established with the vendor,,Internal quality assurance reports,,Resource management plan,,,,,,1,"The procurement management plan and contract agreements define the terms and conditions, including quality specifications, responsibilities, and how disputes with vendors should be handled.",
"One year ago at project kick-off, the entire project team was trained on the specifics of the business operation that the project supports. Since then, turnover has been high and new project team members fail to have the same understanding of the business. As a result, project productivity has suffered. What should the project manager do?",multiple-choice,Instruct the new team members to seek help from experienced members when confronted with something they do not understand.,,"Reassign the inexperienced team members, add members with more relevant experience, and log the turnover issue in the lessons learned register.",,Hold a second kick-off meeting for the new team members and ask current members to provide training and support.,,Revise the project schedule to allow for the decrease in productivity.,,,,,,3,"Holding a subsequent kick-off or training session is a proactive way to bring new team members up to speed, ensuring they understand the business operations and improving productivity.",
"Due to cross-cultural differences, stakeholders of a multinational project fail to approve the project management plan. To mitigate this issue, what should the project manager have done?",multiple-choice,Reviewed/updated the issue log to reflect that the project management plan may not receive approval,,Requested earlier feedback from the stakeholders,,Trained the team on a common communication language,,Updated the stakeholder register and paid attention to non-verbal cues,,,,,,2,Engaging stakeholders early and frequently to request their feedback allows the project manager to identify and address cross-cultural differences or disagreements before the final approval stage.,
"A project manager is working on a project for which the project sponsor is also the customer. Since the project is running smoothly, the sponsor/customer asks that the project manager send status reports only if the project is in trouble. What should the project manager do?",multiple-choice,Amend the communications management plan.,,Send only high-level status updates to stakeholders.,,Store the project status reports in the project repository rather than sending them to stakeholders.,,Keep track of the project and continue to inform other stakeholders of project progress.,,,,,,1,"If a key stakeholder (like the sponsor/customer) formally changes their communication preferences, the project manager should update the communications management plan to reflect these new requirements.",
"A key project stakeholder is not satisfied with the project deliverables, and has summoned the project manager to explain the reasons. What should the project manager refer to ensure alignment with the stakeholder?",multiple-choice,Communications management plan,,Work breakdown structure (WBS),,Stakeholder engagement plan,,Risk register,,,,,,3,"The stakeholder engagement plan outlines the strategies and actions required to effectively engage stakeholders, manage their expectations, and ensure alignment on project deliverables.",
"Immediately after the project charter is signed off, a project manager calls a meeting with the project sponsor and other key stakeholders to discuss how to determine what work is required to be done on the project and how to ensure only that work gets done. What will be the final output of this meeting?",multiple-choice,Requirements management plan,,Scope management plan,,Milestone list,,Work breakdown structure (WBS) dictionary,,,,,,2,"The scope management plan is a component of the project management plan that describes how the scope will be defined, developed, monitored, controlled, and validated.",
"A project manager concludes that the user acceptance tests (tests that are done by the end-users of the product to ensure it functions according to their expectations) are not needed on the project because the technology used to build this product is already operational on other projects delivered earlier. However, right after the product is put to use after the ""go-live"", users find it un-usable due to many issues in the product. What should the project manager do?",multiple-choice,Use test scripts to resolve the issue.,,Review the defect report to identify and solve the issue.,,Submit a change request.,,Conduct a root cause analysis to identify corrective actions.,,,,,,4,"Root cause analysis is an analytical technique used to determine the basic underlying reason that causes a variance, defect, or risk.",
"A key project sponsor has expressed concern to the project manager that she is receiving insufficient information about the project status. The project manager is intrigued by this concern from the stakeholder because she has been included in periodic status meetings, and status reports are being shared with her as per the stakeholder communication plan. What should the project manager do next?",multiple-choice,Escalate the issue to the project sponsor.,,Follow the stakeholder engagement plan.,,Create a communications management plan.,,Conduct one-on-one meetings with these stakeholders.,,,,,,4,"Since the stakeholders are already included in the status meetings and status reports, the project manager should meet with them one on one to understand what their additional communication needs are",
"A resource was assigned as the risk owner on a project during the risk response planning early in the project. At a critical point in the project, the resource is unable to mitigate the risk because he is already committed to another project with critical deliverables. What should the project manager do?",multiple-choice,"Assume the risks, and control them often to reduce potential impact.",,Hire external resources to handle these tasks.,,"Review the resources' availability with the functional manager, and negotiate rescheduling or task crashing.",,Establish a contingency reserve to solve the potential schedule delay and mitigate the possible impact.,,,,,,3,"The functional manager is the person who will be able to reschedule, reassign or replace resources.",
The project team has requested a change to the scope of the project that is necessary to make a product module function properly. The product module is provided by an external vendor who will need to implement the change. The project manager is worried that any changes to the product now will impact the project timelines and budget. What should the project manager do first?,multiple-choice,Prepare a change request to update contract terms with the provider.,,Update the risk register and issue log with this information.,,Negotiate directly with the provider to reach an agreement.,,Check the procurement management plan and the contract terms.,,,,,,4,"The procurement management plan describes how a project team will acquire goods and services from outside of the performing organization. This, along with the contract terms and conditions, should be first reviewed.",
A project management office (PMO) is instituting the implementation of standard project management processes and procedures to be followed uniformly in a global organization. The PMO requires all projects to document lessons learned at the end of each milestone into the Organizational Process Assets that will be used to as prototype for future implementations. What should the project manager do to ensure that this project is a success?,multiple-choice,Facilitate a virtual weekly status update meeting.,,Update the project management plan on a weekly basis.,,Create a detailed project management plan to share with all stakeholders.,,Engage the stakeholders and request sign-off at the end of each stage.,,,,,,4,The PM needs to adopt and model the desired behavior. Getting sign off at each stage will accomplish this.,
"On a large global project, a project manager observes that a key stakeholder has been repeatedly asking a team member to provide project status that is out of the regular cadence. What should the project manager do next?",multiple-choice,Review the communications management plan.,,Invite the senior manager to the next project meeting.,,Review the project management information system (PMIS).,,Refer to the stakeholder register.,,,,,,1,A communications management plan is developed to ensure that the appropriate messages are communicated to stakeholders in various formats and various means as defined by the communication strategy.,
A project manager meets with the project team to discuss an ongoing technical issue on the project. One of the project stakeholders informs the team that the exact same issue was observed on another similar project that was never recorded. What did the project manager on the other project not do that could have helped with the resolution of this issue?,multiple-choice,Update the lessons learned register.,,Prepare a risk report.,,Communicate the warning to the project sponsor.,,Update the issue log.,,,,,,4,"The issue log will help the project manager effectively track and manage issues, ensuring that they are investigated and resolved.",
"A project manager informs the sponsor that a final deliverable on the project is not yet complete. This, he informs, will delay the project closure. What should the project manager do next?",multiple-choice,Separate the original scope and proceed to project closure.,,Proceed with partial project closure and wait until the final deliverable is completed.,,Determine the impact of delaying the deliverable and take necessary actions.,,Postpone project closure until the final deliverable is completed.,,,,,,3,"Before a path of action can be selected, the project manager needs to first understand the impact of the delay.",
"A part of the contingent budget reserves on a project allocated for risks, a project manager only requested the reserves for high-impact/ high-probability risks. However, during the project execution a high impact risk with low probability of occurrence occurs. Although this risk is captured in the risk register, it is not accounted for in the contingent reserves. What should the project manager do first?",multiple-choice,"Conduct an impact analysis, and then submit a change request to increase the budget if necessary.",,Update the risk management plan based on risk monitoring and assessment.,,Escalate the problem to the project sponsor.,,Immediately execute the risk response plan using the available risk budget,,,,,,2,"Monitor Risks is the process of monitoring the implementation of agreed-upon risk response plans, tracking identified risks, identifying and analyzing new risks, and evaluating risk process effectiveness throughout the project. The key benefit of this process is that it enables project decisions to be based on current information about overall project risk exposure and individual project risks. This process is performed throughout the project.",
A project needs resource support from a supplier because several team members have been transferred to another project. Concerns arise about the cost risk of using a supplier at this stage of the project. The project manager is working with the procurement team to establish specifications and the type of contract that should be used. What type of contract should the project manager recommend?,multiple-choice,Cost plus incentive fee (CPIF),,Time and material (TM),,Firm fixed price (FFP),,Fixed price incentive fee (FPIF),,,,,,4,"A Fixed Price Incentive Fee Contract (FPIF) is a type of contract where the buyer pays the seller a set amount (as defined by the contract), and the seller can earn an additional amount if the seller meets defined performance criteria.",
"On a software development project, a developer is repeatedly missing the deadlines impacting the project schedule and risking the project delivery dates. What should the project manager do?",multiple-choice,Give the developer a warning via email to improve their work quality.,,Identify whether the developer is a shared resource with another project.,,"Escalate the issue to the developer's line manager, and ask for the concern to be immediately addressed.",,"Personally meet with the developer, and offer support where applicable.",,,,,,4,The project manager needs to proactively manage this resource. They need to understand the reason for repeatedly missing deadlines and to offer the requisite support.,
A project manager is assigned to a project at the end of the initiating phase of the project. What document should the project manager review first to get accustomed to the project?,multiple-choice,Check the project management information system (PMIS).,,Gather information from subject matter experts (SMEs).,,Review the project charter.,,Organize a status meeting with the project team.,,,,,,3,The project charter contains the most complete information on a project to date. This should be reviewed first.,
"On a project to build an App for shopping for used textbooks, the project manager notices the SPI (Schedule Performance Index) has dipped to below 1. The project manager determines that the reason for the delays is due to some junior resources doing the testing on the product are spending time testing unnecessary details of the App that add no big value. What should the project manager do to enhance team performance?",multiple-choice,"Replace the junior resources, and advise the senior resources.",,Conduct training with the junior staff.,,Ask the senior resources to provide assistance to the junior resources.,,"Provide training where required, and implement a checklist on what items are supposed to be completed",,,,,,4,The PM must train the junior members and supply a checklist so that all are checking all and only what they are supposed to be checking.,
"A project manager is asked to use the company's new system for cost estimation after already having completed one. The new system is complicated, and the process will add two weeks to the project timeline. Stakeholder tolerance for extending the schedule is low. However, the new process must be followed to achieve project approval and move to the execution phase. What should the project manager do?",multiple-choice,Communicate to key stakeholders that there will be a two-week project delay due to the new process.,,"Proceed with the current estimate, explaining to the key stakeholders that the new process would increase the timeline significantly.",,"Communicate to key stakeholders that the current estimate may require updates, and continue with periodic cost reviews to discuss the updates.",,Communicate to key stakeholders that the new process requires a project restart at the beginning of the planning phase.,,,,,,3,"Communicating transparently about the need to update timelines is the best approach to take, and follow necessary mandatory process.",
"In the middle of a project, the project manager had requested an increase to the project budget from the project sponsors. The change to the budget was approved through the Change Control Board (CCB). At the end of the project, a key sponsor is very upset and is surprised to see the project is now over the budget. What should the project manager do to clarify the situation?",multiple-choice,Asked management if there is a required project budget for the financial period.,,Notified the client of the budget decrease and ensure project requirements will not be affected.,,Consulted the sponsor since the sponsor is a member of the change control board (CCB).,,Documented the change in detail since the sponsor is responsible for making budgetary decisions.,,,,,,3,The sponsor should have been aware of the change if they were effectively engaged. Pointing out their role or consulting them appropriately ensures clarity regarding the CCB's approved budget increase.,
"Several months after the implementation of an approved change to manage a risk, a project manager learns that the change failed to achieve the expected result. This led to adverse consequences. What should the project manager have done to avoid this?",multiple-choice,"Assessed new risks, and updated the probability and impact matrix",,Reviewed the assumption log to revisit or change existing assumptions,,Verified that the risk response was effective,,Added the risk information to the lessons learned register,,,,,,3,Implementing a risk response is not the final step; the project manager must continuously monitor and verify that the risk response is actually effective in mitigating the risk.,
"In the initiating phase of a project, the project manager is preparing the project charter for the project. He is obtaining inputs from various stakeholders to identify all assumptions and constraints that will go into the project charter. However, not all stakeholders are consistently providing input. What should the project manager use to enhance stakeholder input?",multiple-choice,Meeting management,,Facilitation,,Checklists,,Political awareness,,,,,,2,"Facilitation is a crucial interpersonal and team skill used to effectively bring stakeholders together, encourage participation, and guide them toward a shared understanding or consensus.",
"During project execution, a key stakeholder requests to include a change to product functionality that will benefit the customer. What should the project manager do?",multiple-choice,Engage the stakeholders to obtain their agreement.,,Refer the request to the project sponsor and the steering committee.,,Submit the request to the change control board (CCB).,,Immediately implement the change to satisfy the customer.,,,,,,3,"Any change requested during project execution must go through the formal change control process. Submitting the request to the Change Control Board (CCB) is the appropriate next step to assess the change's impact on the project scope, schedule, and budget before any decision is made.",
"As part of a key project in a large organization, the manufacturing of valves is outsourced to a third party. The project manager learns that the valves will arrive earlier than expected and in greater quantities. What should the project manager do next?",multiple-choice,Refer to the procurement management plan to review the terms of delivery from the third party.,,"Add additional resources, close the project earlier, and update the lessons learned",,Review the project schedule and fast track activities to complete the project earlier.,,Review the cost and schedule plan.,,,,,,1,"When dealing with issues or unexpected changes related to vendors or third-party deliveries, the first step should be to refer to the procurement management plan (and the contract) to understand the agreed-upon terms, conditions, and procedures for dealing with delivery deviations.",
"A software development project requires a highly skilled resource that is unavailable locally. A resource who can work on site is identified in another country, but the work visa process is taking longer than expected. What should the project manager do?",multiple-choice,Delay the project by an equivalent duration.,,Assign overtime work to the existing team.,,Reduce the project's scope.,,Ask the resource to work remotely.,,,,,,4,"Asking the resource to work remotely is the most practical and immediate solution to keep the project moving forward while waiting for the visa process to conclude, especially for software development tasks which can often be done remotely.",
The final phase of a large multi-year project is coming to an end. The last deliverable has been delivered to the customer a few days ago. What should the project manager do next?,multiple-choice,Review the project management plan to ensure the scope's completion and request customer acceptance.,,Manage quality to validate that the deliverables have met standards.,,Measure the project deliverables against the project charter and request customer acceptance.,,Resolve all project risks to ensure that the deliverables will be accepted.,,,,,,1,"At the end of the project, after deliverables have been handed over, the project manager should review the project management plan (specifically the scope baseline) to verify that all work has been completed as planned and then formalize this by requesting formal customer acceptance.",
"Right after the project manager is assigned to a project, the sponsor sends preliminary scope, assumptions and high-level risks to the project. What should the project manager do first?",multiple-choice,Build the project team and assign project tasks.,,Understand the business case and project goals.,,Construct the project schedule and define the critical path.,,Obtain project charter approval from the sponsor.,,,,,,2,"Before building the schedule, team, or even finalizing the project charter, the project manager must first understand the fundamental reasons for the project's existence, which are found in the business case and project goals. This ensures the project will deliver the expected value.",
"During the initiating phase of a project, the project manager is working to putting together the project charter. A key stakeholder is not providing the necessary inputs to obtaining the project assumptions, benefits and constraints. What should the project manager do?",multiple-choice,Use analogous estimating to estimate the expected benefits.,,Refer the issue to the change control team.,,Note this as an open item and continue with project planning.,,Inform the project sponsor about the issue.,,,,,,4,The sponsor is the person who could intervene and facilitate that stakeholder's contribution.,
"In the final stages of the project when the project team is performing the user acceptance tests, several users are complaining that the product doesn't meet their expectations in terms of the functionality of the product. What should the project manager have done differently?",multiple-choice,Established a professional relationship with the users.,,Implemented conflict management techniques.,,Considered stakeholder feedback.,,Conducted risk assessments.,,,,,,3,"Managing stakeholder engagement helps to ensure that stakeholders clearly understand the project goals, objectives, benefits, and risks for the project, as well as how their contribution will enhance project success. Listening to their feedback is an important part of this engagement.",
